City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
126,Ambunti,PG,2022-04-17 22:48:01,-4.2365,142.8448,77.04,94,100,1.32
127,Thompson,CA,2022-04-17 22:47:59,55.7435,-97.8558,32.16,29,75,2.3
128,Port Elizabeth,ZA,2022-04-17 22:48:02,-33.918,25.5701,62.89,97,75,10.36
129,Grindavik,IS,2022-04-17 22:48:02,63.8424,-22.4338,42.75,81,75,4.61
130,Agirish,RU,2022-04-17 22:48:02,61.9247,63.0231,22.26,92,57,6.55
131,Capiibary,PY,2022-04-17 22:48:03,-24.8,-56.0333,63.43,79,16,3.96
132,Provideniya,RU,2022-04-17 22:48:03,64.3833,-173.3,32.36,93,100,20.13
133,San Patricio,US,2022-04-17 22:48:03,28.017,-97.5169,89.69,57,15,16.26
134,Jalu,LY,2022-04-17 22:48:04,29.0331,21.5482,63.61,67,98,15.88
135,Gondanglegi,ID,2022-04-17 22:48:04,-7.7479,112.0132,75.76,94,87,1.43
136,Surab,PK,2022-04-17 22:49:05,28.4914,66.2585,63.14,40,99,2.57
137,Barrow,US,2022-04-17 22:45:22,71.2906,-156.7887,3.22,78,0,8.05
138,Nova Prata,BR,2022-04-17 22:49:05,-28.7839,-51.61,56.3,88,90,2.64
139,Bima,ID,2022-04-17 22:49:05,-8.4667,118.7167,78.64,90,98,1.28
140,Ordu,TR,2022-04-17 22:49:06,40.9086,37.6845,39.7,49,100,8.57
141,Porosozero,RU,2022-04-17 22:49:06,62.7191,32.727,34.93,97,100,3.02
142,Waitati,NZ,2022-04-17 22:49:06,-45.75,170.5667,57.97,64,0,3.89
143,Houston,US,2022-04-17 22:46:49,29.7633,-95.3633,88.32,68,0,14.97
144,Port Hardy,CA,2022-04-17 22:49:07,50.6996,-127.4199,51.98,54,75,23.02
145,Porto Velho,BR,2022-04-17 22:49:07,-8.7619,-63.9039,78.85,89,40,3.44
146,Homer,US,2022-04-17 22:49:08,59.6425,-151.5483,42.8,66,100,6.91
147,Shuangcheng,CN,2022-04-17 22:49:08,45.35,126.2833,35.28,23,85,8.3
148,Cap-Aux-Meules,CA,2022-04-17 22:49:08,47.3821,-61.8597,35.62,93,75,26.46
149,Kieta,PG,2022-04-17 22:49:09,-6.2167,155.6333,82.47,75,87,3.02
150,Fare,PF,2022-04-17 22:49:09,-16.7,-151.0167,81.16,72,9,10.92
151,Pokhara,NP,2022-04-17 22:45:43,28.2333,83.9833,71.6,24,1,8.08
152,Raga,SS,2022-04-17 22:49:09,8.4596,25.678,81.0,44,40,4.12
153,Coquimbo,CL,2022-04-17 22:49:10,-29.9533,-71.3436,56.93,88,40,6.91
154,Iqaluit,CA,2022-04-17 22:49:10,63.7506,-68.5145,-0.31,64,40,11.5
155,Kloulklubed,PW,2022-04-17 22:49:10,7.0419,134.2556,73.9,72,99,2.55
156,Cabo San Lucas,MX,2022-04-17 22:46:14,22.8909,-109.9124,92.61,49,49,9.89
157,Labrea,BR,2022-04-17 22:49:11,-7.2586,-64.7981,74.66,99,100,2.91
158,Hualmay,PE,2022-04-17 22:49:11,-11.0964,-77.6139,67.19,83,6,12.03
159,Huarmey,PE,2022-04-17 22:49:12,-10.0681,-78.1522,68.7,80,1,11.45
160,Tuktoyaktuk,CA,2022-04-17 22:49:12,69.4541,-133.0374,17.6,57,100,13.8
161,Mitsamiouli,KM,2022-04-17 22:49:12,-11.3847,43.2844,81.3,72,5,7.14
162,Cidreira,BR,2022-04-17 22:49:13,-30.1811,-50.2056,67.17,71,96,10.85
163,Berdigestyakh,RU,2022-04-17 22:49:13,62.0989,126.6992,27.46,76,100,12.68
164,Porto Novo,BJ,2022-04-17 22:49:13,6.4965,2.6036,84.02,83,100,9.55
165,Tahta,EG,2022-04-17 22:49:14,26.7693,31.5021,87.22,11,95,9.4
166,Pailon,BO,2022-04-17 22:49:14,-17.65,-62.75,76.68,55,27,5.23
167,Kodoli,IN,2022-04-17 22:49:14,16.8833,74.2,73.42,75,29,5.46
168,Harlingen,US,2022-04-17 22:49:15,26.1906,-97.6961,91.36,44,0,16.11
169,Iztapa,GT,2022-04-17 22:49:15,13.9333,-90.7075,89.65,70,0,18.41
170,Marshall,US,2022-04-17 22:46:55,34.3834,-86.3333,70.32,70,40,4.0
171,Kiunga,PG,2022-04-17 22:49:15,-6.1219,141.2906,76.62,94,100,0.89
172,Marsa Matruh,EG,2022-04-17 22:49:16,31.3525,27.2453,64.6,72,85,18.41
173,Tieli,CN,2022-04-17 22:49:16,46.95,128.05,40.19,43,2,4.52
174,Yar-Sale,RU,2022-04-17 22:49:16,66.8333,70.8333,10.96,87,96,7.83
175,Linxia,CN,2022-04-17 22:49:17,35.6003,103.2064,37.38,53,61,1.1
176,Adrar,MR,2022-04-17 22:49:17,20.5022,-10.0711,78.73,13,49,12.1
177,Ailigandi,PA,2022-04-17 22:49:18,9.2333,-78.0167,80.15,82,100,9.26
178,Lebu,CL,2022-04-17 22:46:09,-37.6167,-73.65,54.64,85,100,9.08
179,Khandyga,RU,2022-04-17 22:49:18,62.6667,135.6,21.38,87,100,5.14
180,Bathsheba,BB,2022-04-17 22:47:30,13.2167,-59.5167,81.21,74,40,20.71
181,Lubao,PH,2022-04-17 22:50:19,14.9167,120.55,82.11,73,18,8.55
182,Ulaangom,MN,2022-04-17 22:50:19,49.9811,92.0667,39.72,36,3,1.88
183,Turayf,SA,2022-04-17 22:50:19,31.6725,38.6637,64.65,17,0,8.05
184,Saldanha,ZA,2022-04-17 22:50:20,-33.0117,17.9442,57.25,85,19,10.56
185,Todos Santos,MX,2022-04-17 22:50:20,23.45,-110.2167,71.44,73,99,6.31
186,Nuuk,GL,2022-04-17 22:50:20,64.1835,-51.7216,23.88,85,100,4.0
187,Chuy,UY,2022-04-17 22:50:21,-33.6971,-53.4616,62.11,78,100,7.16
188,Abu Kamal,SY,2022-04-17 22:50:21,34.4506,40.9171,70.83,17,100,6.82
189,Bayir,TR,2022-04-17 22:50:21,37.2687,28.2167,64.92,62,3,10.33
190,Ghoti,IN,2022-04-17 22:50:22,19.7168,73.6245,71.49,67,0,4.63
191,Okhotsk,RU,2022-04-17 22:50:22,59.3833,143.3,22.68,79,99,6.55
192,Birjand,IR,2022-04-17 22:50:22,32.8663,59.2211,55.87,67,20,9.22
193,Olinda,BR,2022-04-17 22:50:23,-8.0089,-34.8553,83.93,70,20,8.05
194,Waddan,LY,2022-04-17 22:50:23,29.1614,16.139,61.27,58,3,7.31
195,Orikhove,UA,2022-04-17 22:50:23,45.1294,33.6318,46.69,93,100,15.77
196,Kaitangata,NZ,2022-04-17 22:50:24,-46.2817,169.8464,54.46,61,2,1.88
197,Milkovo,RU,2022-04-17 22:50:24,54.7167,158.6167,33.37,62,61,4.09
198,Zyryanka,RU,2022-04-17 22:50:24,65.75,150.85,15.06,92,100,5.73
199,Yellowknife,CA,2022-04-17 22:45:48,62.456,-114.3525,19.92,45,20,13.8
200,Dracena,BR,2022-04-17 22:50:25,-21.4843,-51.535,64.18,72,0,6.67
201,Road Town,VG,2022-04-17 22:50:25,18.4167,-64.6167,80.69,74,40,16.11
202,Puerto Escondido,MX,2022-04-17 22:50:25,15.85,-97.0667,86.29,61,63,9.48
203,Moose Factory,CA,2022-04-17 22:50:26,51.2585,-80.6094,24.8,68,100,8.05
204,Moses Lake,US,2022-04-17 22:46:33,47.1301,-119.2781,52.48,32,0,9.22
205,Ulaanbaatar,MN,2022-04-17 22:46:58,47.9077,106.8832,21.33,79,0,0.0
206,Mpophomeni,ZA,2022-04-17 22:50:26,-29.5682,30.1862,51.46,95,100,2.26
