City_Name,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
113,Lorengau,PG,-2.0226,147.2712,83.89,76,35,6.49,scattered clouds
114,Miandrivazo,MG,-19.5167,45.4667,77.05,82,2,2.66,clear sky
115,Morondava,MG,-20.2833,44.2833,79.63,80,0,1.23,clear sky
116,Forbes,AU,-33.3833,148.0167,78.93,40,100,11.21,overcast clouds
117,Souillac,MU,-20.5167,57.5167,73.78,94,75,1.14,thunderstorm with rain
118,Nikolskoye,RU,59.7035,30.7861,38.71,75,100,2.98,overcast clouds
119,Saint-Georges,GD,12.0564,-61.7485,80.28,78,20,13.8,few clouds
120,Saint Anthony,US,45.0205,-93.218,35.24,92,100,6.91,mist
121,Sinazongwe,ZM,-17.2614,27.4618,71.92,81,8,6.02,clear sky
122,Victoria,HK,22.2855,114.1577,74.17,82,99,1.01,overcast clouds
123,Edeia,BR,-17.3383,-49.9314,64.69,69,91,4.14,overcast clouds
124,Farah,AF,32.5,62.5,59.32,68,16,3.83,light rain
125,Makakilo City,US,21.3469,-158.0858,77.32,69,100,17.27,overcast clouds
126,Cidreira,BR,-30.1811,-50.2056,67.77,73,81,11.56,broken clouds
127,Kavieng,PG,-2.5744,150.7967,85.95,65,39,13.73,scattered clouds
128,Kailua,US,21.4022,-157.7394,78.78,79,20,5.01,light rain
129,Aksarka,RU,66.5606,67.7975,17.6,90,100,9.35,overcast clouds
130,Cabo San Lucas,MX,22.8909,-109.9124,83.5,50,40,11.5,scattered clouds
131,Tuktoyaktuk,CA,69.4541,-133.0374,15.8,67,75,6.91,broken clouds
132,Faanui,PF,-16.4833,-151.75,81.07,72,5,10.49,clear sky
133,Castro,BR,-24.7911,-50.0119,51.22,98,8,5.01,clear sky
134,Swan Hill,AU,-35.3378,143.5544,69.31,58,100,9.15,light rain
135,Sarahan,IN,31.5167,77.8,60.22,33,6,4.99,clear sky
136,Qaanaaq,GL,77.484,-69.3632,-20.51,70,0,6.38,clear sky
137,Lagos,NG,6.5833,3.75,73.72,97,100,3.04,moderate rain
138,Ruteng,ID,-8.6136,120.4721,71.92,80,41,1.36,scattered clouds
139,Zilair,RU,52.2332,57.4392,40.77,74,99,2.48,overcast clouds
140,Provideniya,RU,64.3833,-173.3,32.36,86,100,20.13,mist
141,Mahajanga,MG,-15.7167,46.3167,73.42,88,20,4.61,few clouds
142,Bahia Blanca,AR,-38.7196,-62.2724,60.66,67,7,7.83,clear sky
143,Shaunavon,CA,49.6501,-108.4181,29.98,83,68,3.0,broken clouds
144,Ouesso,CG,1.6136,16.0517,70.72,98,100,1.1,moderate rain
145,Hermanus,ZA,-34.4187,19.2345,59.81,85,99,9.55,overcast clouds
146,Bejar,ES,40.3864,-5.7634,56.57,73,48,6.26,scattered clouds
147,Yozgat,TR,39.5833,35.3333,55.2,42,98,8.75,overcast clouds
148,Jucas,BR,-6.5253,-39.5275,71.58,94,42,1.52,scattered clouds
149,Taltal,CL,-25.4,-70.4833,61.11,82,4,4.7,clear sky
150,Port Hedland,AU,-20.3167,118.5667,93.25,21,13,23.02,few clouds
151,Shirokiy,RU,49.758,129.523,47.43,36,8,10.58,clear sky
152,Shatrovo,RU,56.5167,64.6333,36.3,70,99,4.16,overcast clouds
153,Kushikino,JP,31.7167,130.2667,67.46,51,98,5.61,overcast clouds
154,Zhuanghe,CN,39.7008,122.9911,65.07,29,16,6.73,few clouds
155,Canby,US,45.2629,-122.6926,55.6,52,100,3.44,overcast clouds
156,Nanortalik,GL,60.1432,-45.2371,29.12,88,45,10.0,scattered clouds
157,Dingle,PH,10.9995,122.6711,86.05,64,47,12.97,scattered clouds
158,Am Timan,TD,11.0297,20.2827,83.8,51,86,8.05,overcast clouds
159,Lavrentiya,RU,65.5833,-171.0,31.77,97,100,15.03,light snow
160,Eyl,SO,7.9803,49.8164,81.01,81,33,6.64,scattered clouds
161,Suez,EG,29.9737,32.5263,74.91,34,99,2.75,overcast clouds
162,Avarua,CK,-21.2078,-159.775,80.65,69,20,4.61,few clouds
163,Vemalwada,IN,18.4667,78.8833,92.3,39,43,9.13,scattered clouds
164,Port-Gentil,GA,-0.7193,8.7815,80.17,83,100,7.02,light rain
165,San Jeronimo,PE,-11.9472,-75.2829,47.21,85,59,3.42,broken clouds
166,Payo,ID,-3.7508,103.6372,88.29,62,69,1.97,broken clouds
167,Gao,ML,16.6362,1.637,73.62,17,99,7.99,overcast clouds
168,Ostra,IT,43.6139,13.1582,50.05,64,1,9.22,clear sky
169,Tiznit,MA,29.5833,-9.5,71.11,23,100,2.53,overcast clouds
170,Nouadhibou,MR,20.931,-17.0347,64.38,94,40,5.75,scattered clouds
171,Maceio,BR,-9.6658,-35.7353,78.24,88,40,4.61,scattered clouds
172,Ribeira Grande,PT,38.5167,-28.7,58.03,69,83,20.85,broken clouds
173,Bengkulu,ID,-3.8004,102.2655,83.01,76,73,3.91,broken clouds
174,Ponta Do Sol,PT,32.6667,-17.1,65.12,56,34,12.35,scattered clouds
175,Matagami,CA,49.7502,-77.6328,23.11,74,100,8.05,overcast clouds
176,Haines Junction,CA,60.7522,-137.5108,33.75,34,100,3.44,overcast clouds
177,Kapoeta,SS,4.7717,33.5903,77.18,67,100,7.7,overcast clouds
178,Archidona,ES,37.0965,-4.3887,58.91,62,98,3.69,overcast clouds
179,Papara,BR,-3.9839,-38.7273,81.0,96,74,0.13,broken clouds
180,Oranjemund,NA,-28.55,16.4333,61.09,63,0,4.41,clear sky
181,Tabory,RU,58.5198,64.5495,35.04,64,5,1.28,clear sky
182,Carnarvon,AU,-24.8667,113.6333,73.47,68,92,16.11,overcast clouds
183,Georgetown,MY,5.4112,100.3354,85.93,83,20,5.75,thunderstorm
184,Ilo,PE,-17.6394,-71.3375,65.39,78,64,5.86,broken clouds
185,Sobolevo,RU,54.4299,31.8996,30.83,95,100,13.22,light snow
186,Aripuana,BR,-9.1667,-60.6333,72.16,99,83,1.97,broken clouds
187,Srednekolymsk,RU,67.45,153.6833,24.24,85,99,6.85,overcast clouds
188,Chaihe,CN,44.7667,129.7,49.89,20,30,3.74,scattered clouds
189,Chapais,CA,49.7834,-74.8492,24.58,91,65,8.05,broken clouds
190,Necochea,AR,-38.5473,-58.7368,57.13,89,91,8.95,overcast clouds
191,Yazykovo,RU,55.2199,56.1353,40.59,81,100,6.44,light rain
192,Zambezi,ZM,-13.5432,23.1047,62.87,97,77,3.96,light rain
193,Skibbereen,IE,51.55,-9.2667,42.12,82,100,7.29,overcast clouds
194,Bardsir,IR,29.9227,56.5743,49.26,56,0,6.69,clear sky
195,Rawah,IQ,34.4816,41.9093,66.78,20,83,3.85,broken clouds
196,Angicos,BR,-5.6656,-36.6011,75.16,89,99,7.92,overcast clouds
197,Lambayeque,PE,-6.7011,-79.9061,67.17,81,41,11.92,scattered clouds
198,Isangel,VU,-19.55,169.2667,83.37,71,100,3.76,overcast clouds
199,Cherskiy,RU,68.75,161.3,15.96,82,100,3.98,overcast clouds
200,Sao Filipe,CV,14.8961,-24.4956,70.79,77,23,3.36,few clouds
201,Urumqi,CN,43.801,87.6005,67.15,7,0,13.42,clear sky
202,Diamantino,BR,-14.4086,-56.4461,71.65,85,98,3.04,overcast clouds
203,Coos Bay,US,43.3665,-124.2179,51.93,79,40,8.05,scattered clouds
204,Harsud,IN,22.1,76.7333,91.99,18,0,7.34,clear sky
205,Kristiansund,NO,63.1115,7.732,47.05,57,100,3.44,overcast clouds
206,Boca Do Acre,BR,-8.7522,-67.3978,72.19,97,89,2.93,overcast clouds
207,Komsomolskiy,UZ,40.4272,71.7189,65.12,42,29,6.91,scattered clouds
208,Viedma,AR,-40.8135,-62.9967,58.08,71,0,11.39,clear sky
209,Grindavik,IS,63.8424,-22.4338,39.67,70,20,6.91,few clouds
210,Port Moresby,PG,-9.4431,147.1797,90.82,62,40,14.97,haze
211,Athabasca,CA,54.7169,-113.2854,31.75,61,99,4.25,overcast clouds
212,Tiarei,PF,-17.5333,-149.3333,86.02,74,19,9.28,few clouds
213,Muzhi,RU,65.3667,64.6667,23.4,82,100,6.78,overcast clouds
214,Shubarshi,KZ,48.5872,57.1869,54.3,59,1,4.07,clear sky
215,Faya,SA,18.3851,42.4509,62.71,38,17,2.91,few clouds
